,name,country_code,height,birth_date,birth_place,nickname
8346,BOSKOVIC Tijana,SRB,193,1997-03-08,Trebinje,Tica
8347,BUSA Bianka,SRB,187,1994-07-25,Vrbas,Buki
8348,DRCA Bojana,SRB,186,1988-03-29,Belgrade,Bosha
8349,KURTAGIC Hena,SRB,195,2004-08-27,Novi Pazar,
8350,LAZOVIC Katarina,SRB,182,1999-09-12,Belgrade,Laza
8351,LOZO Sara,SRB,186,1997-04-29,Jagodina,
8352,MILENKOVIC Bojana,SRB,185,1997-03-06,Belgrade,
8353,OGNJENOVIC Maja,SRB,183,1984-08-06,Zrenjanin,
8354,POPOVIC Silvija,SRB,178,1986-03-15,Niksic,
8355,POPOVIC Mina,SRB,187,1994-09-16,Kraljevo,
8356,STEVANOVIC Jovana,SRB,192,1992-06-30,Belgrade,Jole
8357,UZELAC Aleksandra,SRB,188,2004-07-27,Zrenjanin,
9557,da SILVA Ana Carolina,BRA,183,1991-04-08,Belo Horizonte,Carol
9559,MENEZES OLIVEIRA de SOUZA Ana Cris,BRA,192,2004-04-07,Rio De Janeiro,
9564,DUARTE ALECRIM Diana,BRA,194,1999-02-22,,
9570,BRAGA GUIMARAES Gabriela,BRA,180,1994-05-19,Belo Horizonte,Gabi
9574,BERGMANN Julia Isabelle,BRA,191,2001-02-21,Munich,
9577,GERALDO TEIXEIRA Lorenne,BRA,187,1996-01-08,Conselheiro Lafaiete,
9578,SILVA CARNEIRO Macris Fernanda,BRA,178,1989-03-03,Santo Andre,Fada Vegana (Portuguese for Vegan Fairy)
9579,ARAUJO Natalia,BRA,162,1997-04-10,Sao Paulo,Natinha
9580,ALEXANDRE COSTA NUNES Nyeme Victor,BRA,175,1998-10-11,Barra Do Corda,Doutora Nyeme
9581,MONTIBELLER Rosamaria,BRA,185,1994-04-09,Nova Trento,
9582,RATZKE Roberta Silva,BRA,185,1990-04-28,Curitiba,
9585,DAHER de MENEZES Thaisa,BRA,196,1987-05-15,Rio De Janeiro,Mama Daher
9586,LEMES SANTOS Tainara,BRA,190,2000-03-09,Jandira,
10085,GIOVANNINI Gaia,ITA,182,2001-12-17,San Giovanni In Persiceto,
10365,van AALEN Sarah,NED,186,2000-01-21,Stogumber,
10366,PLAK Celeste,NED,190,1995-10-26,Tuitjenhorn,
10367,KNOLLEMA Jolien,NED,189,2003-01-05,Groningen,
10368,LOHUIS Juliet,NED,190,1996-09-10,Oldenzaal,
10369,BUIJS Anne,NED,191,1991-12-02,Geleen,
10370,BONGAERTS Britt,NED,185,1996-11-03,Roermond,
10371,BAIJENS Indy,NED,193,2001-02-04,Zaandam,
10372,JASPER Marrit,NED,180,1996-02-28,Sneek,
10373,DAALDEROP Nika,NED,189,1998-11-29,Amsterdam,
10374,TIMMERMAN Eline,NED,192,1998-12-30,Rijssen,
10375,REESINK Florien,NED,174,1998-06-09,Borne,
10376,DAMBRINK Elles,NED,184,2003-06-22,Ouderkerk Aan Den Ijssel,
10377,MARRING Nova,NED,184,2001-09-06,Groningen,
